No Document,title,Description,Mati,Sakit,Keparahan
114,"Antisipasi Rabies, 80 Kucing-Anjing di Kertabumi Ciamis Divaksin","\- Dinas Peternakan dan Perikanan Kabupaten Ciamis melakukan kegiatan vaksin
rabies pada anjing dan kucing peliharaan masyarakat. Pada Selasa (2/7/2019)
sedikitnya 80 anjing dan kucing telah divaksin rabies di Desa Kertabumi,
Kecamatan Cijeungjing.  
  
Suntik vaksin rabies gratis ini dilakukan sampai bulan Agustus 2019.
Dilaksanakan secara menyeluruh di daerah yang populasinya cukup tinggi
terutama anjing.  
  
""Dalam rangka menjaga ketentraman masyarakat khususnya terhadap penyakit
anjing gila atau rabies. Hari pertama ada 80 ekor anjing dan kucing. Akan
berlangsung sampai Agustus,"" ujar Sekdis Peternakan dan Perikanan Ciamis Otong
Bustomi, Selasa (2/7/2019).  
  

  
Menurut Otong, populasi anjing di Ciamis cukup banyak terutama di daerah
gunung atau utara. Biasanya warga memelihara anjing untuk berburu. Tapi untuk
yang rawan anjing rabies berada di perkotaan seperti Ciamis, Cijeungjing,
Sindangkasih dan Cikoneng.  
  
""Ciamis ini termasuk rawan rabies, karena masuk daerah perlintasan sehingga
ancaman munculnya penyakit hewan tinggi. Misal ada kasus rabies di wilayah
Jawa Tengah bisa saja sampai ke Ciamis,"" ujar Otong.  
  
  
Otong mengajak kepada masyarakat yang memiliki hewan peliharaan anjing, kucing
dan kera untuk datang dan lapor ke Dinas Peternakan bila ingin dilakukan
suntik vaksin rabies secara gratis.  
  
""Idealnya suntik rabies itu setahun sekali, bagi anjing yang berumur di atas 3
bulan harus divaksin,"" ucapnya.  
  
Hal tersebut perlu dilakukan sebagai upaya pencegahan dan sosialisasi sejak
dini. Mengingat kasus anjing rabies pernah ditemukan pada tahun 1997 lalu.
Namun sampai saat ini belum ditemukan kasus rabies. Karena rabies ini dapat
menimbulkan kematian bila menular kepada Manusia melalui gigitan hewan
peliharaan.  
  
""Ketika anjing takut air, mata merah, terus menggonggong, sudah makan barang-
barang yang ada di depannya dan cenderung agresif segera hindari, itu
terindikasi rabies,"" ucap Otong.  
  

![Antisipasi Rabies, 80 Kucing-Anjing di Kertabumi Ciamis
Divaksin](https://akcdn.detik.net.id/community/media/visual/2019/07/02/06e2cfd3-7a28-4ff8-862a-7f27cf0d4bdb_43.jpeg?w=480)Foto:
Dok. Dinas Peternakan dan Perikanan Ciamis  
  
---  
  
Otong mengatakan bila terlanjut digigit anjing, yang perlu dilakukan dengan
mencuci bekas gigitan menggunakan sabun. Kemudian basuh alkohol dan dibawa ke
Puskesmas untuk mendapat penanganan dokter.  
  
""Anjingnya harus diobservasi 14 hari, kalau mati berarti positif rabies. Maka
orang yang digigit baru diberi vaksin anti rabies, jadi tidak langsung diberi
vaksin harus ada observasi dulu,"" ujarnya.  
  
  
[Gambas:Video 20detik]  

 ",1,1,rendah
115,2 Menu Favorit Milenial Ini Berpotensi Meningkatkan Asam Lambung Lho,"\-

Belakangan ini, ayam geprek dan kopi susu menjadi tren di kalangan milenial.
Namun, menurut pakar gizi, kedua menu tersebut berpotensi memicu peningkatan
produksi asam lambung.  
  
Hal ini disampaikan ahli gizi Universitas Gadjah Mada, Dr Lily Arsanti
Lestari, saat ditemui di ruangannya, Selasa (18/2/2020). Ia menyampaikan, ayam
geprek dan kopi susu bisa membuat asam lambung meningkat.  
  
Diuraikannya, pada dasarnya makanan dan minuman yang harus dihindari bagi
penderita asam lambung adalah makanan berlemak. Baik ayam geprek dan kopi
susu, keduanya mengandung lemak.  
  
""Ayam geprek kan olahannya digoreng. Artinya, ada lemak yang dihasilkan dari
proses tersebut. Lemak ini membuat asam lambung meningkat,"" terang Lily.

  
Asam lambung, kata Lily, berfungsi untuk mencerna makanan. Sedangkan lemak
adalah zat yang susah dicerna lambung. Ketika mengonsumsi yang mengandung
lemak, lambung akan bekerja lebih keras. Hal ini pun akan membuat produksi
asam lambung meningkat.  
  
""Susu dan produk olahannya, seperti keju dan yogurt pun juga mengandung lemak.
Ini juga perlu dihindari agar tidak terjadi peningkatan asam lambung,"" tambah
dosen Program Studi Gizi Kesehatan UGM ini.  
  
Ketika ditanyai terkait kopi susu, ia membenarkan jika minuman itu menyebabkan
asam lambung naik. Selain ada kandungan lemak dari susu, kafein pun turut
mendorong produksi asam lambung.  
  
""Kalau diseduh, kadar keasaman kopi meningkat. Ditambah lagi, kandungan
kafeinnya yang juga buat asam lambung naik,"" tuturnya.  

Selanjutnya __

Halaman

1  2

 ",0,1,rendah
116,Apakah Perempuan Hamil Berhak Aborsi Jika Bayinya Down Syndrome?,"\- Semakin banyak perempuan Eropa yang menggugurkan kandungan ketika
mengetahui bayi yang akan dilahirkan menderita down syndrome. Apakah mereka
berhak melakukannya?  

Di negara-negara di Eropa diperkirakan, sekitar sembilan puluh persen wanita
memutuskan untuk melakukan aborsi, jika mereka diberitahu sedang mengandung
bayi dengan down syndrome.

Dewasa ini merupakan hal yang rutin bagi perempuan hamil, terutama di kalangan
perempuan berusia 30-an dan awal 40-an, memeriksakan kandungannya, untuk
mengetahui apakah bayi yang dikandung menderita down syndrome atau tidak.

Teknologi kedokteran modern dengan mudah dapat mendeteksi apakan bayi yang
akan dilahirkan menderita kelainan genetika pada kromosom 21. Lewat analisa
darah, dapat diketahui probabilitas kelainan kromosom 21 pada embrio. Jika
probalitasnya tinggi, calon ibu dapat memilih untuk melakukan tes cairan
amnion atau ketuban untuk pemeriksaan yang lebih tepat.

Metode pemeriksaan non-invasif yang relatif baru ini jauh lebih tepat daripada
tes sebelumnya, yang menggabungkan analisis darah dengan tes USG.

Dikatakan, ketersediaan layanan tes modern itu telah menyebabkan peningkatan
aborsi di kalangan perempuan hamil yang mengandung bayi yang mengidap kelainan
genetik pada kromosom 21.

Gert de Graaf dari Dutch Foundation Down Syndrome mengungkapkan, sebenarnya
tren ini sudah muncul pada metode pemeriksaan sebelumnya yang jauh lebih
rumit.

Pihak berwenang Belanda pada tahun 2003 memutuskan, setiap perempuan hamil
harus diberitahu tentang pilihan pemeriksaan dini, menggunakan analisis darah
gabungan dan tes ultrasonic. ""Sejak itu lebih sedikit bayi dengan down
syndrome yang dilahirkan"", kata de Graaf.

Tapi De Graaf juga menunjukkan, masih banyak calon orangtua yang tidak ingin
melakukan pemeriksaan ini, karena mereka tidak ingin tahu. Dan bagi mereka,
down syndrome bukan alasan untuk aborsi.

Hanya sekitar sepertiga wanita hamil di Belanda memutuskan untuk melakukan
pemeriksaan down syndrome. Dan setengah dari jumlah ini menggugurkan kandungan
saat mereka mengetahui bahwa bayi dalam kandungan menderita down syndrome.

Dengan metode pemeriksaan yang lebih tepat, dikhawatirkan akan lebih banyak
perempuan hamil yang akhirnya menggugurkan kandungan, jika mengetahui bahwa
bayi akan lahir mengidap down syndrome.

EUROCAT, pusat data untuk pengawasan Eropa terhadap anomali kongenital
melaporkan, angka aborsi terkait down syndrome di Jerman mirip dengan di
Belanda.

Di Jerman, sekitar 50 persen janin yang diduga mengidap down syndrome
digugurkan. Menurut pengamatan, jumlah anak yang lahir dengan down syndrome
tampaknya tergantung pada jumlah perempuan hamil yang melakukan pemeriksaan
kromosom 21.

Di Denmark pemeriksaan down syndrome tidak dipungut biaya. Sekitar 90 persen
perempuan hamil melakukan pemeriksaan. ""Bahkan terdapat ""tekanan sosial halus
untuk melakukan pemeriksaan ini,"" papar de Graaf. Hasilnya, hampir tidak ada
anak dengan down syndrome yang lahir di Denmark.

Situasinya sedikit berbeda di Amerika Serikat, di mana aborsi tidak diterima
secara luas. Meski di AS aborsi itu legal, tetapi tetap menjadi isu yang
kontroversial. Studi menunjukkan bahwa sekitar 67 persen perempuan hamil di AS
memutuskan untuk melakukan aborsi jika bayi yang dikandung menderita kelainan
kromosom 21.

Menurut laporan Organisasi Kesehatan Dunia, setiap tahun sekitar 3.000 hingga
5.000 anak lahir dengan kelainan kromosom 21. Dampak dari kelainan bawaan ini
diantaranya adalah masalah pendengaran, jantung dan usus.

""Orangtua mungkin khawatir tentang masa depan anak dengan down syndrome"", kata
Florian Steger, ahli etika medis di Universitas Ulm, Jerman. Mereka mungkin
khawatir tentang cara membesarkan anak mereka atau stigma dalam masyarakat.

Dalam beberapa dekade terakhir, harapan hidup di antara orang-orang dengan
down syndrome telah meningkat secara dramatis. WHO mengatakan, sekitar 80
persen penderita down syndrome sekarang hidup sampai ulang tahun ke 50 atau
bahkan lebih. Tetapi beberapa orang tua mungkin masih khawatir tentang siapa
yang akan merawat anak mereka ketika mereka sendiri menjadi lebih tua atau
meninggal.

Steger mengatakan, adalah hak setiap perempuan untuk memutuskan apakah akan
memeriksakan kromosom 21, dan apakah ia akan melakukan aborsi atau tidak.

Namun Stege mengatakan, perempuan hamil juga memiliki tanggung jawab untuk
mendapatkan informasi yang benar sehingga ia dapat membuat keputusan sendiri.
""Tanpa membabi buta mengikuti saran orang lain, apakah itu saran dokter,
ibunya atau dari orang lain,"" tandasnya.

De Graaf juga mengatakan ia berharap lebih banyak orang akan mendapat
informasi yang lebih baik tentang down syndrome dan kehidupan dengan seorang
anak yang lahir dengan kelainan kromosom tersebut.

""Down syndrome bukanlah bencana seperti yang orang kira,"" dikatakan De Graaf.
""Saya tidak akan menganggapnya sebagai alasan untuk aborsi."" Tapi,
ditambahkannya, ini adalah keputusan yang harus dibuat oleh masing-masing
individu.

Peluang memiliki anak dengan down syndrome adalah sekitar 1 berbanding 200.
Perempuan hamil di atas usia 30 memiliki risiko yang jauh lebih tinggi
daripada calon ibu yang lebih muda.  
  
Menurut Pusat Pengendalian dan Pencegahan Penyakit AS, jumlah bayi yang lahir
dengan down syndrome antara 1979 dan 2003 meningkat sekitar 30 persen.

Hal ini mungkin karena berkaitan dengan fakta bahwa banyak perempuan yang
memutuskan untuk memiliki bayi setelah melewati usia 30. Dan mungkin itulah
mengapa lebih banyak perempuan hamil yang merasa perlu untuk memeriksakan
kromosom 21. Dampaknya, juga lebih banyak perempuan yang melakukan aborsi.

Brigitte Osterath (yf/as)

  
  

 ",1,0.8,rendah
117,Menko PMK Lapor Jokowi soal 'Terlalu Banyak Tangan' Urus Masalah Stunting,"\-

Menteri Koordinator Pembangunan Manusia dan Kebudayaan (Menko PMK), Muhadjir
Effendy mengaku melapor ke Presiden Joko Widodo terkait persoalan stunting
yang diurus oleh terlalu banyak Kementerian. Muhadjir menyebut itu justru
membuat permasalahan stunting menjadi tidak terurus.

""Tantangannya adalah, jumlah kasus stunting di negara kita ini masih sangat
tinggi. Bukan hanya itu, yang mengurusi soal stunting terdapat 17
kementerian,"" kata Muhadjir dalam keterangan tertulisnya, Selasa (15/9/2020).

Muhadjir mengatakan jumlah 17 Kementerian yang mengurus stunting tersebut
justru menjadikan persoalan tersebut terbengkalai. Karena itu dia melaporkan
hal ini kepada Jokowi.

""Artinya 'terlalu banyak tangan' pada akhirnya kurang keurus,"" ucapnya.

Muhadjir menyampaikan perombakan birokrasi diperlukan dalam hal menangani
persoalan stunting. Sehingga menurutnya menjadi jelas siapa yang paling
bertanggung jawab untuk menyelesaikan persoalan itu.

""Hal ini sudah saya sampaikan kepada Presiden Jokowi agar dilakukan
perombakkan birokrasi, sehingga jelas kementerian manakah yang paling
bertanggung jawab dalam menangani hal ini,"" imbuhnya.

[Gambas:Video 20detik]

 ",0,1,rendah
118,"Tekan Populasi dan Cegah Rabies, Kucing dan Anjing Dikebiri","\- Pemerintah Kabupaten (pemkab) Boyolali melakukan sterilisasi hewan
peliharaan di masyarakat, khususnya kucing dan anjing. Hal ini dilakukan untuk
mengendalikan populasi dan mencegah penyakit hewan menular strategis (PHMS),
seperti rabies.  
  
""Sejauh ini memang belum ada kasus rabies di Boyolali. Kasus gigitannya
sering, tapi selalu negatif rabies. Termasuk kera itu kan juga penular rabies,
kasus (gigitan kera) di Desa Sendang (Karanggede) alhamdulillah juga negatif.
Tetapi pencegahan kan tetap (perlu dilakukan),"" ujar Kepala Dinas Peternakan
dan Perikanan (Disnakan) Boyolali, Juwaris, ditemui usai deklarasi kerjasama
pemasangan instalasi ke peternak ayam broiler di Pendopo Alit Rumah Dinas
Bupati Boyolali, Kamis (14/2/2019).  
  
Menurut Juwaris, di Boyolali telah terjadi kasus gigitan anjing sekitar 17
kali. Namun, dari hasil pemeriksaan semuanya negatif rabies. Dikemukakan pula,
jika terjadi gigitan anjing ke manusia, maka anjing tersebut tidak boleh
dibunuh.  
  

""Kenapa? Kita ambil sampelnya, itu penyebab rabies atau tidak. Kalau nggak
rabies, orangnya aman. Tetapi kalau rabies, orangnya harus ada perlakuan
karena nanti bisa menular,"" jelasnya.  
  
Ia mengatakan hewan pembawa penyakit rabies antara lain anjing, kucing dan
kera. Gejala-gejalan hewan yang menderita rabies antara lain anjingnya tidak
normal, yang tadinya penurut kemudian menjadi agresif dan suka menggigit.  
  
Untuk populasi anjing dan kucing di Boyolali, Juwaris mengaku belum bisa
menghitung. Pihaknya mengimbau pemilik hewan peliharaan tersebut untuk melapor
ke Disnakan.  
  
""Apabila nanti terjadi hal-hal tak diinginkan, pengobatannya kita bisa aktif,""
katanya.  
  
Juwaris mengatakan sterilisasi dilakukan untuk pencegahan populasi kucing dan
anjing di Boyolali. Selain itu juga untuk mengetahui atau melakukan
pemeriksaan, hewan itu pembawa rabies atau tidak.  
  
""Tapi sejauh ini yang ditemukan di UPT-UPT, aman ya (tidak ditemukan rabies).
Tapi paling tidak mengurangi populasi,"" tandasnya.  
  
Kegiatan sterilisasi tahap awal ini sasarannya yakni hewan yang dipeliharan
masyarakat. Hal itu karena mudah dijangkau dibandingkan yang liar.  
  
""Sebenarnya kalau dirasa populasi hewan liar sangat mengkhawatirkan, ya nanti
dikurangi populasi. Tapi sekarang kan belum ada keluhan,"" kata dia.  
  
Penyakit hewan menular strategis di Boyolali yang diwaspadai antara lain
antraks, rabies dan flu burung.  
  
""Itu penyakit-penyakit yang betul-betul kita cegah,"" tegas dia.  
  
Ia menamabhakn kegiatan sterilisasi menjalin kerjasama dengan Persatuan Dokter
Hewan Indonesia (PDHI) Cabang Jateng IV serta sejumlah petshop di Boyolali
serta Lima UPT Pusat Kesehatan Hewan (Puskeswan) di Boyolali.  
  
Kepala Bidang Kesehatan Hewan Disnakkan Boyolali, Afiany Rifdania, menambahkan
program steril bersubsidi ini dilaksanakan di lima Puskeswan. Sasarannya hewan
pembawa rabies dan bisa menularkan toksoplasmosis dan leptospirosis.  
  
""Kami khawatir populasinya yang sudah cukup banyak dan liar. Jadi kami
mengadakan kegiatan ini supaya mengurangi populasi yang ada di lapangan,""
terang Afiany Rifdania.  
  
Pihaknya berharap, masyarakat dan komunitas pecinta hewan semakin mengenal
lebih dekat dengan Puskeswan. Sehingga peduli dengan kondisi kesehatan hewan
peliharaan mereka, termasuk anjing dan kucing.  
  

 ",0,1,rendah
119,"10 Provinsi Nihil Tambahan, Ini Sebaran 279 Kasus Corona RI 28 Mei","\-

Pemerintah melaporkan kasus harian Corona sebanyak 279 pada 28 Mei. Ada 10
provinsi yang melaporkan nihil kasus positif Corona selama 24 jam terakhir.

Data sebaran kasus Corona ini dipublikasikan oleh Humas BNPB, Sabtu
(28/5/2022). Data kasus COVID-19 diperbarui setiap hari per pukul 12.00 WIB.

Dengan penambahan 279 kasus, total kasus Corona di Indonesia menjadi
6.054.173. Sebanyak 2.972 adalah kasus aktif.

Sebanyak 248 pasien Corona dilaporkan sembuh pada hari ini. Dengan demikian,
total kasus sembuh dari Corona di RI hingga hari ini menjadi 5.894.628.

Pemerintah juga melaporkan kasus kematian sebanyak 8 orang, sehingga total
pasien Corona yang meninggal dunia menjadi 156.573.

Berdasarkan sebaran kasus, DKI Jakarta melaporkan penambahan kasus terbanyak,
yaitu 104. Lalu diikuti oleh Jawa Barat sebanyak 43 kasus.

Berikut sebaran positif Corona hari ini:  
1\. Aceh: 0  
2\. Sumatera Utara: 3  
3\. Sumatera Barat: 2  
4\. Riau: 1  
5\. Jambi: 1  
6\. Sumatera Selatan: 0  
7\. Bengkulu: 0  
8\. Lampung: 3  
9\. Bangka Belitung: 0  
10\. Kepulauan Riau: 1  
11\. DKI Jakarta: 104  
12\. Jawa Barat: 43  
13\. Jawa Tengah: 8  
14\. DI Yogyakarta: 24  
15\. Jawa Timur: 23  
16\. Banten: 26  
17\. Bali: 9  
18\. Nusa Tenggara Barat: 1  
19\. Nusa Tenggara Timur: 7  
20\. Kalimantan Barat: 0  
21\. Kalimantan Tengah: 3  
22\. Kalimantan Selatan: 4  
23\. Kalimantan Timur: 1  
24\. Kalimantan Utara: 0  
25\. Sulawesi Utara: 0  
26\. Sulawesi Tengah: 1  
27\. Sulawesi Selatan: 2  
28\. Sulawesi Tenggara: 1  
29\. Gorontalo: 0  
30\. Sulawesi Barat: 0  
31\. Maluku: 0  
32\. Maluku Utara: 1  
33\. Papua: 2  
34\. Papua Barat: 8

Sebaran kasus sembuh hari ini:  
1\. Aceh: 0  
2\. Sumatera Utara: 4  
3\. Sumatera Barat: 1  
4\. Riau: 1  
5\. Jambi: 0  
6\. Sumatera Selatan: 0  
7\. Bengkulu: 0  
8\. Lampung: 5  
9\. Bangka Belitung: 0  
10\. Kepulauan Riau: 1  
11\. DKI Jakarta: 93  
12\. Jawa Barat: 35  
13\. Jawa Tengah: 17  
14\. DI Yogyakarta: 9  
15\. Jawa Timur: 16  
16\. Banten: 14  
17\. Bali: 37  
18\. Nusa Tenggara Barat: 0  
19\. Nusa Tenggara Timur: 2  
20\. Kalimantan Barat: 2  
21\. Kalimantan Tengah: 0  
22\. Kalimantan Selatan: 2  
23\. Kalimantan Timur: 7  
24\. Kalimantan Utara: 0  
25\. Sulawesi Utara: 0  
26\. Sulawesi Tengah: 0  
27\. Sulawesi Selatan: 0  
28\. Sulawesi Tenggara: 0  
29\. Gorontalo: 0  
30\. Sulawesi Barat: 2  
31\. Maluku: 0  
32\. Maluku Utara: 0  
33\. Papua: 0  
34\. Papua Barat: 0

 ",156573,279,parah
120,"Waspada DBD, Enesis Bagi-bagi Soffell dan Healthy Kit di Bali","\-

Di tengah Pandemi COVID-19 masyarakat perlu tetap waspada dengan berbagai
macam penyakit berbahaya lain. Misalnya demam berdarah dengue (DBD) yang
ditularkan melalui gigitan nyamuk Aedes aegypti dan Aedes albopictus.

Penderita DBD umumnya mengalami gejala-gejala yang perlu dikhawatirkan. Mulai
dari demam tinggi, penurunan trombosit, kelelahan, hingga pendarahan ringan
(seperti mimisan, gusi berdarah, atau mudah memar).

Menanggapi hal ini, Enesis memberikan kepedulian kepada seluruh masyarakat
Indonesia. Pada 11 Februari 2022 lalu Enesis berkesempatan untuk berkunjung
dan melakukan beberapa gerakan guna mendukung sektor kesehatan di Provinsi
Bali utamanya dalam pencegahan DBD.

""Enesis Group berkolaborasi dengan Pemerintah Provinsi Bali beserta jajarannya
untuk bersama-sama mengingatkan masyarakat untuk tetap menjaga protokol
kesehatan (prokes) di tengah masa pandemi. Selain berfokus untuk menjaga
protokol kesehatan terhadap COVID-19, masyarakat juga jangan sampai lalai
untuk tetap menjaga kesehatan dari berbagai ancaman penyakit lainnya, salah
satunya adalah DBD yang juga salah satu penyakit berbahaya tentunya,"" ujar
Ketua Yayasan Enesis Indonesia Elkana Lewerissa dalam keterangan tertulis,
Jumat (18/2/2022).

Elkana juga menyampaikan bahwa Enesis hadir untuk bersilaturahmi dan bersama
Pemerintah Provinsi Bali akan membagi-bagikan healthy kit kepada mereka yang
setiap hari masih beraktivitas, dalam hal ini adalah para pedagang pasar.

![Enesis](https://akcdn.detik.net.id/community/media/visual/2022/02/18/enesis-1.jpeg?w=2048)Enesis
Foto: dok. Enesis  
  
---  
  
Enesis Group memberikan bantuan berupa 3.280 buah Soffell dan 1000 healthy kit
yang diterima secara simbolis oleh Wakil Gubernur Bali Tjokorda Oka Artha
Ardana Sukawati atau yang akrab disapa Cok Ace. Healthy Kit berisi masker,
Antis Hand Sanitizer, Plossa Minyak Aromaterapi, Soffell Anti Nyamuk, Scrubber
dan vitamin Amunizer. Produk-produk kesehatan dari Enesis ini diharapkan dapat
melindungi masyarakat Bali khususnya para pedagang untuk senantiasa aman dan
sehat.

Pembagian donasi dipusatkan di Pasar Kreneng Denpasar, yang juga didampingi
oleh BPBD Bali diwakili oleh Kabid Kedaruratan Dan Logistik Nyoman Suanjaya,
Diskominfos Bali yang diwakili oleh Yupi Wahyundari. Sedangkan dari pihak
Enesis Group juga dihadiri Ketua Yayasan Enesis Indonesia Elkana Lewerissa dan
Brand Manager Antis Hand Sanitizer Tegar Baskoro.

Wakil Gubernur Bali Tjokorda Oka Artha Ardana Sukawati atau Cok Ace mengatakan
Pemerintah Provinsi Bali menyambut baik dan memberikan apresiasi terhadap
Enesis Group yang telah membantu masyarakat Bali dalam rangka penanganan
COVID-19 yang belum berakhir.

Pihaknya berharap dengan bantuan ini, tidak hanya bisa dimanfaatkan akan
tetapi bisa menyadarkan masyarakat bahwa COVID-19 ini masih ada. Ia juga
berharap tindakan mulia dari Enesis Group ini biasanya ditiru oleh pihak
swasta lainnya.

""Mudah-mudahan dengan bantuan ini tidak hanya langsung bisa dimanfaatkan akan
tetapi kembali bisa menyadarkan bahwa COVID-19 ini masih ada. Dan semoga
tindakan mulia dari enesis group ini bisa ditiru Dan diikuti oleh pihak lain,
karena pemerintah tidak bisa sendiri tanpa pihak swasta. Harapan kami, tentu
teman-teman semua bisa bangkit termasuk enesis group dan menyadari bahwa
pandemi ini tidak hanya berdampak atau menekan sektor pariwisata akan tetapi
semua sektor tertekan. Mudah-mudahan dengan tindakan mulia ini kita
mendapatkan jalan terbaik ke depannya,"" ujar Wagub Cok Ace.

 ",0,0,rendah
121,Menkes Tegaskan Kenaikan Corona Terkini karena Varian Baru,"\-

Kasus baru corona di Tanah Air meningkat selama tiga pekan terakhir. Menteri
Kesehatan (Menkes) Budi Gunadi Sadikin mengatakan kenaikan kasus Corona
cenderung terjadi karena varian baru. Dia membeberkan datanya.

Budi mengatakan tren kenaikan kasus corona setelah hari raya Natal dan tahun
baru kemarin serta Idul Fitri sebelumnya terjadi mulai hari ke-27 hingga 34.
Namun saat ini kenaikan kasus terjadi sekitar di hari ke-40.

""Yang kedua, memang kita lihat juga setiap kali lonjakan besar di setiap
negara itu penyebabnya bukan hari raya keagamaan besar, tapi lebih disebabkan
oleh adanya varian baru,"" kata Budi dalam konferensi pers virtual yang
disiarkan kanal YouTube Sekretariat Presiden, Senin (13/6/2022).

""Jadi kita _confirmed_ bahwa kenaikan ini memang dipicu oleh adanya varian
baru dan ini juga yang terjadi oleh negara-negara di luar Indonesia yang
mungkin hari raya keagamaannya berbeda-beda dengan kita, jadi setiap kali
kenaikan varian baru kita naik,"" ujarnya.

Sementara itu, Menko Perekonomian Airlangga Hartarto mengatakan kenaikan kasus
corona saat ini terjadi pada hari ke-41 setelah lebaran. Airlangga menyebut
berdasarkan pengalaman sebelumnya kenaikan kasus corona lebih disebabkan
adanya varian baru.

""Lebaran itu sudah 41 hari jadi relatif flat, dan memang berdasarkan
pengalaman kenaikan itu karena ada varian baru, sebelumnya Delta dan kemarin
Omicron yang naik,"" ujar Airlangga.

Sebelumnya, Satgas COVID-19 mewaspadai kenaikan kasus harian virus Corona
selama tiga pekan terakhir. Disebut, terjadi kenaikan kasus mingguan sebesar
31 persen dari 22 Mei.

""Menjadi perhatian bahwa terdapat kenaikan pada tren kasus positif selama tiga
minggu terakhir, dan kasus aktif selama 4 hari terakhir. Dilihat pada grafik
kasus positif mingguan, terjadi kenaikan 571 atau 31 persen dari kasus tanggal
22 Mei 2022, dari 1.814 menjadi 2.385 kasus mingguan,"" ucap juru bicara
COVID-19, Wiku Adisasmito, dalam konferensi pers, Rabu (8/6/2022).

""Kemudian pada kasus aktif terjadi kenaikan 328 atau 10 persen dari kasus
aktif tanggal 2 Juni 2022, yaitu 3.105 menjadi 3.433 kasus aktif harian,""
katanya.

Diketahui, di Indonesia sudah ditemukan delapan kasus subvarian Omicron BA.4
dan BA.5. Saat ini terdeteksi di Bali dan DKI Jakarta, empat di antaranya
merupakan kasus transmisi lokal, sedangkan sisanya merupakan pelaku perjalanan
luar negeri (PPLN).

Adapun dari delapan kasus tersebut, dua di antaranya terinfeksi BA.4.
Sedangkan enam kasus lainnya terinfeksi subvarian Omicron BA.5.

 ",0,3,rendah
122,"Update Corona Tangsel 22 April: 84 Positif, 15 Sembuh, 18 Meninggal","\-

Pemkot Tangerang Selatan (Tangsel) mencatat sudah ada 84 kasus positif Corona
(COVID-19) di wilayah itu. Jumlah korban meninggal juga lebih banyak
dibandingkan pasien sembuh.

Berdasarkan data per Rabu (22/4/2020), terdapat 84 kasus positif, 353 pasien
dalam pengawasan dan 913 orang dalam pemantauan (ODP). Dari jumlah itu, 51
pasien positif masih menjalani perawatan di rumah sakit.

Sebanyak 15 pasien positif sudah dinyatakan sembuh. Sisanya 18 orang pasien
meninggal dunia.

Jumlah PDP yang meninggal juga lebih banyak dibandingkan PDP yang sembuh.
Sebanyak 23 PDP dinyatakan sembuh sedangkan 52 meninggal dunia.

Pemkot Tangsel telah memberlakukan Pembatasan Sosial Berskala Besar (PSBB)
untuk mencegah penambahan kasus sejak 18 April lalu. Warga Tangsel juga
diminta untuk tetap beribadah di rumah selama Ramadan nanti.

""Tarawih dilakukan di rumah masing-masing. PSBB ini sampai tanggal 1 Mei, jadi
ketentuan tidak berkerumun masih berlaku,"" kata Wakil Wali Kota Tangsel,
Benyamin Davnie saat dihubungi, Rabu (22/1/2020).

 ",1,84,parah
123,Kritik Penanganan Corona Dijawab Xi Jinping Lewat Pidato Penting,"\-

Kebijakan nol-COVID yang diberlakukan China menuai kritik. Presiden China Xi
Jinping pun menjawab kritik itu lewat pidato penting.

China telah menerapkan _lockdown_ ketat di Shanghai demi mengendalikan
penyebaran Corona di kota itu. Tapi, _lockdown_ itu memicu protes dari publik.

Shanghai, yang merupakan pusat ekonomi terpenting China, sedang memerangi
wabah COVID-19. Banyak pagar didirikan di sekitar kompleks yang ditunjukkan
sebagai 'area tertutup'. Artinya, warga yang dinyatakan positif dilarang
meninggalkan pintu depan rumah mereka.

Dilansir dari _CNN_ , Jumat (6/5/2022), banyak penduduk Shanghai menggunakan
media sosial untuk meminta bantuan dan melampiaskan kemarahan mereka atas
kekurangan makanan dan kurangnya akses ke perawatan medis. Kota tersebut
berada dalam pembatasan ketat selama lima minggu terakhir.

Beberapa warga juga memprotes dari jendela mereka. Warga membenturkan panci
dan wajan dan berteriak frustrasi.

Bentrokan juga terjadi dengan polisi dan petugas kesehatan di jalan-jalan,
yang menjadi pemandangan langka di China. Kejatuhan ekonomi yang parah juga
memicu kekhawatiran dari para ekonom dan eksekutif bisnis, terutama mengingat
peran Shanghai sebagai pusat keuangan terkemuka dan pusat manufaktur serta
pengiriman utama.

Pada bulan April, sektor jasa China, yang menyumbang lebih dari setengah PDB
negara dan lebih dari 40% lapangan kerja, mengalami kontraksi pada laju paling
tajam kedua dalam catatan, sementara sektor manufaktur juga menyusut.

### Peringatan Keras Xi Jinping

Kritik dan protes atas kebijakan nol-COVID itu dijawab Xi Jinping dengan
memberi peringatan keras terhadap siapa pun yang mempertanyakan kebijakannya.
Peringatan itu disampaikan Xi dalam pertemuan yang dipimpinnya.

Komite Tetap Politbiro Partai Komunis yang berkuasa bersumpah ""dengan teguh
mematuhi kebijakan umum dinamis nol-COVID dan dengan tegas melawan kata-kata
dan tindakan apa pun yang mendistorsi, meragukan atau menyangkal negara kita
dalam kebijakan pencegahan epidemi.""

 __

 __

[Gambas:Video 20detik]

  
  
 __

Selanjutnya __

Halaman

1  2

 ",0,1,rendah
